sub_sector_categories,sic
Advertising and marketing,70.21
Advertising and marketing,73.11
Advertising and marketing,73.12
Architecture ,71.11
Crafts ,32.12
Design and designer fashion ,74.1
"Film, TV, video, radio and photography",59.11
"Film, TV, video, radio and photography",59.12
"Film, TV, video, radio and photography",59.13
"Film, TV, video, radio and photography",59.14
"Film, TV, video, radio and photography",60.1
"Film, TV, video, radio and photography",60.2
"Film, TV, video, radio and photography",74.2
"IT, software and computer services",58.21
"IT, software and computer services",58.29
"IT, software and computer services",62.01
"IT, software and computer services",62.02
Publishing,58.11
Publishing,58.12
Publishing,58.13
Publishing,58.14
Publishing,58.19
Publishing,74.3
"Museums, galleries and Libraries ",91.01
"Museums, galleries and Libraries ",91.02
"Music, performing and visual arts",59.2
"Music, performing and visual arts",85.52
"Music, performing and visual arts",90.01
"Music, performing and visual arts",90.02
"Music, performing and visual arts",90.03
"Music, performing and visual arts",90.04
