sub_sector_categories,sic
Manufacturing of electronics and computers    ,26.11
Manufacturing of electronics and computers    ,26.12
Manufacturing of electronics and computers    ,26.2
Manufacturing of electronics and computers    ,26.3
Manufacturing of electronics and computers    ,26.4
Manufacturing of electronics and computers    ,26.8
Wholesale of computers and electronics    ,46.51
Wholesale of computers and electronics    ,46.52
Publishing (excluding translation and interpretation activities)       ,58.11
Publishing (excluding translation and interpretation activities)       ,58.12
Publishing (excluding translation and interpretation activities)       ,58.13
Publishing (excluding translation and interpretation activities)       ,58.14
Publishing (excluding translation and interpretation activities)       ,58.19
Software publishing       ,58.21
Software publishing       ,58.29
"Film, TV, video, radio and music   ",59.11
"Film, TV, video, radio and music   ",59.12
"Film, TV, video, radio and music   ",59.13
"Film, TV, video, radio and music   ",59.14
"Film, TV, video, radio and music   ",59.2
"Film, TV, video, radio and music   ",60.1
"Film, TV, video, radio and music   ",60.2
Telecommunications        ,61.1
Telecommunications        ,61.2
Telecommunications        ,61.3
Telecommunications        ,61.9
"Computer programming, consultancy and related activities        ",62.01
"Computer programming, consultancy and related activities        ",62.02
"Computer programming, consultancy and related activities        ",62.03
"Computer programming, consultancy and related activities        ",62.09
Information service activities      ,63.11
Information service activities      ,63.12
Information service activities      ,63.91
Information service activities      ,63.99
Repair of computers and communication equipment,95.11
Repair of computers and communication equipment,95.12
